,actor_1_name,actor_2_name,actor_3_name,director_name,genres,movie_title,comb
15,Henry Cavill,Christopher Meloni,Harry Lennix,Zack Snyder,Action|Adventure|Fantasy|Sci-Fi,man of steel,Henry Cavill Christopher Meloni Harry Lennix Zack Snyder Action|Adventure|Fantasy|Sci-Fi
16,Peter Dinklage,Pierfrancesco Favino,Damián Alcázar,Andrew Adamson,Action|Adventure|Family|Fantasy,the chronicles of narnia: prince caspian,Peter Dinklage Pierfrancesco Favino Damián Alcázar Andrew Adamson Action|Adventure|Family|Fantasy
17,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,Joss Whedon,Action|Adventure|Sci-Fi,the avengers,Chris Hemsworth Robert Downey Jr. Scarlett Johansson Joss Whedon Action|Adventure|Sci-Fi
18,Johnny Depp,Sam Claflin,Stephen Graham,Rob Marshall,Action|Adventure|Fantasy,pirates of the caribbean: on stranger tides,Johnny Depp Sam Claflin Stephen Graham Rob Marshall Action|Adventure|Fantasy
19,Will Smith,Michael Stuhlbarg,Nicole Scherzinger,Barry Sonnenfeld,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,men in black 3,Will Smith Michael Stuhlbarg Nicole Scherzinger Barry Sonnenfeld Action|Adventure|Comedy|Family|Fantasy|Sci-Fi
20,Aidan Turner,Adam Brown,James Nesbitt,Peter Jackson,Adventure|Fantasy,the hobbit: the battle of the five armies,Aidan Turner Adam Brown James Nesbitt Peter Jackson Adventure|Fantasy
21,Emma Stone,Andrew Garfield,Chris Zylka,Marc Webb,Action|Adventure|Fantasy,the amazing spider-man,Emma Stone Andrew Garfield Chris Zylka Marc Webb Action|Adventure|Fantasy
22,Mark Addy,William Hurt,Scott Grimes,Ridley Scott,Action|Adventure|Drama|History,robin hood,Mark Addy William Hurt Scott Grimes Ridley Scott Action|Adventure|Drama|History
23,Aidan Turner,Adam Brown,James Nesbitt,Peter Jackson,Adventure|Fantasy,the hobbit: the desolation of smaug,Aidan Turner Adam Brown James Nesbitt Peter Jackson Adventure|Fantasy
24,Christopher Lee,Eva Green,Kristin Scott Thomas,Chris Weitz,Adventure|Family|Fantasy,the golden compass,Christopher Lee Eva Green Kristin Scott Thomas Chris Weitz Adventure|Family|Fantasy
25,Naomi Watts,Thomas Kretschmann,Evan Parke,Peter Jackson,Action|Adventure|Drama|Romance,king kong,Naomi Watts Thomas Kretschmann Evan Parke Peter Jackson Action|Adventure|Drama|Romance
26,Leonardo DiCaprio,Kate Winslet,Gloria Stuart,James Cameron,Drama|Romance,titanic,Leonardo DiCaprio Kate Winslet Gloria Stuart James Cameron Drama|Romance
27,Robert Downey Jr.,Scarlett Johansson,Chris Evans,Anthony Russo,Action|Adventure|Sci-Fi,captain america: civil war,Robert Downey Jr. Scarlett Johansson Chris Evans Anthony Russo Action|Adventure|Sci-Fi
28,Liam Neeson,Alexander Skarsgård,Tadanobu Asano,Peter Berg,Action|Adventure|Sci-Fi|Thriller,battleship,Liam Neeson Alexander Skarsgård Tadanobu Asano Peter Berg Action|Adventure|Sci-Fi|Thriller
29,Bryce Dallas Howard,Judy Greer,Omar Sy,Colin Trevorrow,Action|Adventure|Sci-Fi|Thriller,jurassic world,Bryce Dallas Howard Judy Greer Omar Sy Colin Trevorrow Action|Adventure|Sci-Fi|Thriller
30,Albert Finney,Helen McCrory,Rory Kinnear,Sam Mendes,Action|Adventure|Thriller,skyfall,Albert Finney Helen McCrory Rory Kinnear Sam Mendes Action|Adventure|Thriller
31,J.K. Simmons,James Franco,Kirsten Dunst,Sam Raimi,Action|Adventure|Fantasy|Romance,spider-man 2,J.K. Simmons James Franco Kirsten Dunst Sam Raimi Action|Adventure|Fantasy|Romance
32,Robert Downey Jr.,Jon Favreau,Don Cheadle,Shane Black,Action|Adventure|Sci-Fi,iron man 3,Robert Downey Jr. Jon Favreau Don Cheadle Shane Black Action|Adventure|Sci-Fi
33,Johnny Depp,Alan Rickman,Anne Hathaway,Tim Burton,Adventure|Family|Fantasy,alice in wonderland,Johnny Depp Alan Rickman Anne Hathaway Tim Burton Adventure|Family|Fantasy
34,Hugh Jackman,Kelsey Grammer,Daniel Cudmore,Brett Ratner,Action|Adventure|Fantasy|Sci-Fi|Thriller,x-men: the last stand,Hugh Jackman Kelsey Grammer Daniel Cudmore Brett Ratner Action|Adventure|Fantasy|Sci-Fi|Thriller
35,Steve Buscemi,Tyler Labine,Sean Hayes,Dan Scanlon,Adventure|Animation|Comedy|Family|Fantasy,monsters university,Steve Buscemi Tyler Labine Sean Hayes Dan Scanlon Adventure|Animation|Comedy|Family|Fantasy
36,Glenn Morshower,Kevin Dunn,Ramon Rodriguez,Michael Bay,Action|Adventure|Sci-Fi,transformers: revenge of the fallen,Glenn Morshower Kevin Dunn Ramon Rodriguez Michael Bay Action|Adventure|Sci-Fi
37,Bingbing Li,Sophia Myles,Kelsey Grammer,Michael Bay,Action|Adventure|Sci-Fi,transformers: age of extinction,Bingbing Li Sophia Myles Kelsey Grammer Michael Bay Action|Adventure|Sci-Fi
38,Tim Holmes,Mila Kunis,James Franco,Sam Raimi,Adventure|Family|Fantasy,oz the great and powerful,Tim Holmes Mila Kunis James Franco Sam Raimi Adventure|Family|Fantasy
39,Emma Stone,Andrew Garfield,B.J. Novak,Marc Webb,Action|Adventure|Fantasy|Sci-Fi,the amazing spider-man 2,Emma Stone Andrew Garfield B.J. Novak Marc Webb Action|Adventure|Fantasy|Sci-Fi
40,Jeff Bridges,Olivia Wilde,James Frain,Joseph Kosinski,Action|Adventure|Sci-Fi,tron: legacy,Jeff Bridges Olivia Wilde James Frain Joseph Kosinski Action|Adventure|Sci-Fi
41,Joe Mantegna,Thomas Kretschmann,Eddie Izzard,John Lasseter,Adventure|Animation|Comedy|Family|Sport,cars 2,Joe Mantegna Thomas Kretschmann Eddie Izzard John Lasseter Adventure|Animation|Comedy|Family|Sport
42,Ryan Reynolds,Temuera Morrison,Taika Waititi,Martin Campbell,Action|Adventure|Sci-Fi,green lantern,Ryan Reynolds Temuera Morrison Taika Waititi Martin Campbell Action|Adventure|Sci-Fi
43,Tom Hanks,John Ratzenberger,Don Rickles,Lee Unkrich,Adventure|Animation|Comedy|Family|Fantasy,toy story 3,Tom Hanks John Ratzenberger Don Rickles Lee Unkrich Adventure|Animation|Comedy|Family|Fantasy
44,Christian Bale,Bryce Dallas Howard,Common,McG,Action|Adventure|Sci-Fi,terminator salvation,Christian Bale Bryce Dallas Howard Common McG Action|Adventure|Sci-Fi
45,Jason Statham,Paul Walker,Vin Diesel,James Wan,Action|Crime|Thriller,furious 7,Jason Statham Paul Walker Vin Diesel James Wan Action|Crime|Thriller
46,Peter Capaldi,Brad Pitt,Mireille Enos,Marc Forster,Action|Adventure|Horror|Sci-Fi|Thriller,world war z,Peter Capaldi Brad Pitt Mireille Enos Marc Forster Action|Adventure|Horror|Sci-Fi|Thriller
47,Jennifer Lawrence,Peter Dinklage,Hugh Jackman,Bryan Singer,Action|Adventure|Fantasy|Sci-Fi|Thriller,x-men: days of future past,Jennifer Lawrence Peter Dinklage Hugh Jackman Bryan Singer Action|Adventure|Fantasy|Sci-Fi|Thriller
48,Benedict Cumberbatch,Bruce Greenwood,Noel Clarke,J.J. Abrams,Action|Adventure|Sci-Fi,star trek into darkness,Benedict Cumberbatch Bruce Greenwood Noel Clarke J.J. Abrams Action|Adventure|Sci-Fi
49,Eddie Marsan,Ewen Bremner,Ralph Brown,Bryan Singer,Adventure|Fantasy,jack the giant slayer,Eddie Marsan Ewen Bremner Ralph Brown Bryan Singer Adventure|Fantasy
50,Leonardo DiCaprio,Elizabeth Debicki,Steve Bisley,Baz Luhrmann,Drama|Romance,the great gatsby,Leonardo DiCaprio Elizabeth Debicki Steve Bisley Baz Luhrmann Drama|Romance
51,Jake Gyllenhaal,Richard Coyle,Reece Ritchie,Mike Newell,Action|Adventure|Fantasy|Romance,prince of persia: the sands of time,Jake Gyllenhaal Richard Coyle Reece Ritchie Mike Newell Action|Adventure|Fantasy|Romance
52,Charlie Hunnam,Clifton Collins Jr.,Larry Joe Campbell,Guillermo del Toro,Action|Adventure|Sci-Fi,pacific rim,Charlie Hunnam Clifton Collins Jr. Larry Joe Campbell Guillermo del Toro Action|Adventure|Sci-Fi
53,Glenn Morshower,Lester Speight,Kevin Dunn,Michael Bay,Action|Adventure|Sci-Fi,transformers: dark of the moon,Glenn Morshower Lester Speight Kevin Dunn Michael Bay Action|Adventure|Sci-Fi
54,Harrison Ford,Ray Winstone,Jim Broadbent,Steven Spielberg,Action|Adventure|Fantasy,indiana jones and the kingdom of the crystal skull,Harrison Ford Ray Winstone Jim Broadbent Steven Spielberg Action|Adventure|Fantasy
55,A.J. Buckley,Jack McGraw,Peter Sohn,Peter Sohn,Adventure|Animation|Comedy|Family|Fantasy,the good dinosaur,A.J. Buckley Jack McGraw Peter Sohn Peter Sohn Adventure|Animation|Comedy|Family|Fantasy
56,Kelly Macdonald,John Ratzenberger,Julie Walters,Mark Andrews,Adventure|Animation|Comedy|Family|Fantasy,brave,Kelly Macdonald John Ratzenberger Julie Walters Mark Andrews Adventure|Animation|Comedy|Family|Fantasy
57,Sofia Boutella,Melissa Roxburgh,Lydia Wilson,Justin Lin,Action|Adventure|Sci-Fi|Thriller,star trek beyond,Sofia Boutella Melissa Roxburgh Lydia Wilson Justin Lin Action|Adventure|Sci-Fi|Thriller
58,John Ratzenberger,Fred Willard,Jeff Garlin,Andrew Stanton,Adventure|Animation|Family|Sci-Fi,wall·e,John Ratzenberger Fred Willard Jeff Garlin Andrew Stanton Adventure|Animation|Family|Sci-Fi
59,Tzi Ma,Dana Ivey,Noémie Lenoir,Brett Ratner,Action|Comedy|Crime|Thriller,rush hour 3,Tzi Ma Dana Ivey Noémie Lenoir Brett Ratner Action|Comedy|Crime|Thriller
60,Oliver Platt,Liam James,Tom McCarthy,Roland Emmerich,Action|Adventure|Sci-Fi,2012,Oliver Platt Liam James Tom McCarthy Roland Emmerich Action|Adventure|Sci-Fi
61,Robin Wright,Colin Firth,Gary Oldman,Robert Zemeckis,Animation|Drama|Family|Fantasy,a christmas carol,Robin Wright Colin Firth Gary Oldman Robert Zemeckis Animation|Drama|Family|Fantasy
62,Channing Tatum,Mila Kunis,Eddie Redmayne,Lana Wachowski,Action|Adventure|Sci-Fi,jupiter ascending,Channing Tatum Mila Kunis Eddie Redmayne Lana Wachowski Action|Adventure|Sci-Fi
63,Christoph Waltz,Alexander Skarsgård,Casper Crump,David Yates,Action|Adventure|Drama|Romance,the legend of tarzan,Christoph Waltz Alexander Skarsgård Casper Crump David Yates Action|Adventure|Drama|Romance
64,Jim Broadbent,Kiran Shah,Shane Rangi,Andrew Adamson,Adventure|Family|Fantasy,"the chronicles of narnia: the lion, the witch and the wardrobe",Jim Broadbent Kiran Shah Shane Rangi Andrew Adamson Adventure|Family|Fantasy
65,Jennifer Lawrence,Michael Fassbender,Tye Sheridan,Bryan Singer,Action|Adventure|Sci-Fi,x-men: apocalypse,Jennifer Lawrence Michael Fassbender Tye Sheridan Bryan Singer Action|Adventure|Sci-Fi
66,Christian Bale,Heath Ledger,Morgan Freeman,Christopher Nolan,Action|Crime|Drama|Thriller,the dark knight,Christian Bale Heath Ledger Morgan Freeman Christopher Nolan Action|Crime|Drama|Thriller
67,John Ratzenberger,Delroy Lindo,Jess Harnell,Pete Docter,Adventure|Animation|Comedy|Family,up,John Ratzenberger Delroy Lindo Jess Harnell Pete Docter Adventure|Animation|Comedy|Family
68,Amy Poehler,Rainn Wilson,Stephen Colbert,Rob Letterman,Action|Adventure|Animation|Comedy|Family|Sci-Fi,monsters vs. aliens,Amy Poehler Rainn Wilson Stephen Colbert Rob Letterman Action|Adventure|Animation|Comedy|Family|Sci-Fi
69,Robert Downey Jr.,Jeff Bridges,Jon Favreau,Jon Favreau,Action|Adventure|Sci-Fi,iron man,Robert Downey Jr. Jeff Bridges Jon Favreau Jon Favreau Action|Adventure|Sci-Fi
70,Chloë Grace Moretz,Christopher Lee,Ray Winstone,Martin Scorsese,Adventure|Drama|Family|Mystery,hugo,Chloë Grace Moretz Christopher Lee Ray Winstone Martin Scorsese Adventure|Drama|Family|Mystery
71,Will Smith,Salma Hayek,Bai Ling,Barry Sonnenfeld,Action|Comedy|Sci-Fi|Western,wild wild west,Will Smith Salma Hayek Bai Ling Barry Sonnenfeld Action|Comedy|Sci-Fi|Western
72,Jet Li,Brendan Fraser,Russell Wong,Rob Cohen,Action|Adventure|Fantasy|Horror|Thriller,the mummy: tomb of the dragon emperor,Jet Li Brendan Fraser Russell Wong Rob Cohen Action|Adventure|Fantasy|Horror|Thriller
73,Will Smith,Robin Atkin Downes,Ike Barinholtz,David Ayer,Action|Adventure|Comedy|Sci-Fi,suicide squad,Will Smith Robin Atkin Downes Ike Barinholtz David Ayer Action|Adventure|Comedy|Sci-Fi
74,Jimmy Bennett,Morgan Freeman,Steve Carell,Tom Shadyac,Comedy|Family|Fantasy,evan almighty,Jimmy Bennett Morgan Freeman Steve Carell Tom Shadyac Comedy|Family|Fantasy
75,Tom Cruise,Lara Pulver,Noah Taylor,Doug Liman,Action|Adventure|Sci-Fi,edge of tomorrow,Tom Cruise Lara Pulver Noah Taylor Doug Liman Action|Adventure|Sci-Fi
76,Jeanne Tripplehorn,Rick Aviles,Zakes Mokae,Kevin Reynolds,Action|Adventure|Sci-Fi|Thriller,waterworld,Jeanne Tripplehorn Rick Aviles Zakes Mokae Kevin Reynolds Action|Adventure|Sci-Fi|Thriller
77,Joseph Gordon-Levitt,Dennis Quaid,Leo Howard,Stephen Sommers,Action|Adventure|Sci-Fi|Thriller,g.i. joe: the rise of cobra,Joseph Gordon-Levitt Dennis Quaid Leo Howard Stephen Sommers Action|Adventure|Sci-Fi|Thriller
78,Amy Poehler,Mindy Kaling,Phyllis Smith,Pete Docter,Adventure|Animation|Comedy|Drama|Family|Fantasy,inside out,Amy Poehler Mindy Kaling Phyllis Smith Pete Docter Adventure|Animation|Comedy|Drama|Family|Fantasy
79,Scarlett Johansson,Bill Murray,Garry Shandling,Jon Favreau,Adventure|Drama|Family|Fantasy,the jungle book,Scarlett Johansson Bill Murray Garry Shandling Jon Favreau Adventure|Drama|Family|Fantasy
80,Robert Downey Jr.,Scarlett Johansson,Jon Favreau,Jon Favreau,Action|Adventure|Sci-Fi,iron man 2,Robert Downey Jr. Scarlett Johansson Jon Favreau Jon Favreau Action|Adventure|Sci-Fi
81,Chris Hemsworth,Kristen Stewart,Sam Claflin,Rupert Sanders,Action|Adventure|Drama|Fantasy,snow white and the huntsman,Chris Hemsworth Kristen Stewart Sam Claflin Rupert Sanders Action|Adventure|Drama|Fantasy
82,Angelina Jolie Pitt,Sharlto Copley,Sam Riley,Robert Stromberg,Action|Adventure|Family|Fantasy|Romance,maleficent,Angelina Jolie Pitt Sharlto Copley Sam Riley Robert Stromberg Action|Adventure|Family|Fantasy|Romance
83,Gary Oldman,Judy Greer,Kodi Smit-McPhee,Matt Reeves,Action|Adventure|Drama|Sci-Fi,dawn of the planet of the apes,Gary Oldman Judy Greer Kodi Smit-McPhee Matt Reeves Action|Adventure|Drama|Sci-Fi
84,Tamsin Egerton,Alice Englert,Bipasha Basu,Roland Joffé,Action|Adventure|Romance|Sci-Fi,the lovers,Tamsin Egerton Alice Englert Bipasha Basu Roland Joffé Action|Adventure|Romance|Sci-Fi
85,Keanu Reeves,Cary-Hiroyuki Tagawa,Jin Akanishi,Carl Rinsch,Action|Adventure|Drama|Fantasy,47 ronin,Keanu Reeves Cary-Hiroyuki Tagawa Jin Akanishi Carl Rinsch Action|Adventure|Drama|Fantasy
86,Scarlett Johansson,Chris Evans,Hayley Atwell,Anthony Russo,Action|Adventure|Sci-Fi,captain america: the winter soldier,Scarlett Johansson Chris Evans Hayley Atwell Anthony Russo Action|Adventure|Sci-Fi
87,Jon Hamm,Kathy Griffin,Mary Kay Place,Mike Mitchell,Adventure|Animation|Comedy|Family|Fantasy,shrek forever after,Jon Hamm Kathy Griffin Mary Kay Place Mike Mitchell Adventure|Animation|Comedy|Family|Fantasy
88,Judy Greer,Chris Bauer,Thomas Robinson,Brad Bird,Action|Adventure|Family|Mystery|Sci-Fi,tomorrowland,Judy Greer Chris Bauer Thomas Robinson Brad Bird Action|Adventure|Family|Mystery|Sci-Fi
89,Damon Wayans Jr.,Daniel Henney,Abraham Benrubi,Don Hall,Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,big hero 6,Damon Wayans Jr. Daniel Henney Abraham Benrubi Don Hall Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi
90,Jack McBrayer,Sarah Silverman,Joe Lo Truglio,Rich Moore,Adventure|Animation|Comedy|Family|Sci-Fi,wreck-it ralph,Jack McBrayer Sarah Silverman Joe Lo Truglio Rich Moore Adventure|Animation|Comedy|Family|Sci-Fi
91,Tom Hanks,Eddie Deezen,Peter Scolari,Robert Zemeckis,Adventure|Animation|Family|Fantasy,the polar express,Tom Hanks Eddie Deezen Peter Scolari Robert Zemeckis Adventure|Animation|Family|Fantasy
92,Vivica A. Fox,Sela Ward,Judd Hirsch,Roland Emmerich,Action|Adventure|Sci-Fi,independence day: resurgence,Vivica A. Fox Sela Ward Judd Hirsch Roland Emmerich Action|Adventure|Sci-Fi
93,Gerard Butler,America Ferrera,Craig Ferguson,Dean DeBlois,Adventure|Animation|Family|Fantasy,how to train your dragon,Gerard Butler America Ferrera Craig Ferguson Dean DeBlois Adventure|Animation|Family|Fantasy
94,Nick Stahl,M.C. Gainey,Carolyn Hennesy,Jonathan Mostow,Action|Sci-Fi,terminator 3: rise of the machines,Nick Stahl M.C. Gainey Carolyn Hennesy Jonathan Mostow Action|Sci-Fi
95,Bradley Cooper,Vin Diesel,Djimon Hounsou,James Gunn,Action|Adventure|Sci-Fi,guardians of the galaxy,Bradley Cooper Vin Diesel Djimon Hounsou James Gunn Action|Adventure|Sci-Fi
96,Matthew McConaughey,Anne Hathaway,Mackenzie Foy,Christopher Nolan,Adventure|Drama|Sci-Fi,interstellar,Matthew McConaughey Anne Hathaway Mackenzie Foy Christopher Nolan Adventure|Drama|Sci-Fi
97,Leonardo DiCaprio,Tom Hardy,Joseph Gordon-Levitt,Christopher Nolan,Action|Adventure|Sci-Fi|Thriller,inception,Leonardo DiCaprio Tom Hardy Joseph Gordon-Levitt Christopher Nolan Action|Adventure|Sci-Fi|Thriller
98,Mark Chinnery,Shin'ya Tsukamoto,Atsuko Maeda,Hideaki Anno,Action|Adventure|Drama|Horror|Sci-Fi,godzilla resurgence,Mark Chinnery Shin'ya Tsukamoto Atsuko Maeda Hideaki Anno Action|Adventure|Drama|Horror|Sci-Fi
99,Aidan Turner,Adam Brown,James Nesbitt,Peter Jackson,Adventure|Fantasy,the hobbit: an unexpected journey,Aidan Turner Adam Brown James Nesbitt Peter Jackson Adventure|Fantasy
100,Paul Walker,Vin Diesel,Jordana Brewster,Rob Cohen,Action|Crime|Thriller,the fast and the furious,Paul Walker Vin Diesel Jordana Brewster Rob Cohen Action|Crime|Thriller
101,Brad Pitt,Jason Flemyng,Julia Ormond,David Fincher,Drama|Fantasy|Romance,the curious case of benjamin button,Brad Pitt Jason Flemyng Julia Ormond David Fincher Drama|Fantasy|Romance
102,Jennifer Lawrence,Michael Fassbender,Oliver Platt,Matthew Vaughn,Action|Adventure|Sci-Fi,x-men: first class,Jennifer Lawrence Michael Fassbender Oliver Platt Matthew Vaughn Action|Adventure|Sci-Fi
103,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson,Francis Lawrence,Adventure|Sci-Fi,the hunger games: mockingjay - part 2,Jennifer Lawrence Philip Seymour Hoffman Josh Hutcherson Francis Lawrence Adventure|Sci-Fi
104,Nicolas Cage,Omar Benson Miller,Robert Capron,Jon Turteltaub,Action|Adventure|Family|Fantasy,the sorcerer's apprentice,Nicolas Cage Omar Benson Miller Robert Capron Jon Turteltaub Action|Adventure|Family|Fantasy
105,Jimmy Bennett,Mike Vogel,Andre Braugher,Wolfgang Petersen,Action|Adventure|Drama|Thriller,poseidon,Jimmy Bennett Mike Vogel Andre Braugher Wolfgang Petersen Action|Adventure|Drama|Thriller
106,Johnny Depp,Alan Rickman,Anne Hathaway,James Bobin,Adventure|Family|Fantasy,alice through the looking glass,Johnny Depp Alan Rickman Anne Hathaway James Bobin Adventure|Family|Fantasy
107,Justin Timberlake,Eric Idle,Rupert Everett,Chris Miller,Adventure|Animation|Comedy|Family|Fantasy,shrek the third,Justin Timberlake Eric Idle Rupert Everett Chris Miller Adventure|Animation|Comedy|Family|Fantasy
108,Dominic Cooper,Callum Rennie,Ruth Negga,Duncan Jones,Action|Adventure|Fantasy,warcraft,Dominic Cooper Callum Rennie Ruth Negga Duncan Jones Action|Adventure|Fantasy
109,J.K. Simmons,Emilia Clarke,Matt Smith,Alan Taylor,Action|Adventure|Sci-Fi,terminator genisys,J.K. Simmons Emilia Clarke Matt Smith Alan Taylor Action|Adventure|Sci-Fi
110,Bruce Spence,Shane Rangi,Laura Brent,Michael Apted,Adventure|Family|Fantasy,the chronicles of narnia: the voyage of the dawn treader,Bruce Spence Shane Rangi Laura Brent Michael Apted Adventure|Family|Fantasy
111,Jennifer Garner,Jaime King,Mako,Michael Bay,Action|Drama|History|Romance|War,pearl harbor,Jennifer Garner Jaime King Mako Michael Bay Action|Drama|History|Romance|War
112,Zack Ward,Michael O'Neill,Kevin Dunn,Michael Bay,Action|Adventure|Sci-Fi,transformers,Zack Ward Michael O'Neill Kevin Dunn Michael Bay Action|Adventure|Sci-Fi
113,Anthony Hopkins,Angelina Jolie Pitt,Brian Blessed,Oliver Stone,Action|Adventure|Biography|Drama|History|Romance|War,alexander,Anthony Hopkins Angelina Jolie Pitt Brian Blessed Oliver Stone Action|Adventure|Biography|Drama|History|Romance|War
114,Robert Pattinson,Daniel Radcliffe,Fiona Shaw,David Yates,Adventure|Family|Fantasy|Mystery,harry potter and the order of the phoenix,Robert Pattinson Daniel Radcliffe Fiona Shaw David Yates Adventure|Family|Fantasy|Mystery
115,Robert Pattinson,Daniel Radcliffe,Rupert Grint,Mike Newell,Adventure|Family|Fantasy|Mystery,harry potter and the goblet of fire,Robert Pattinson Daniel Radcliffe Rupert Grint Mike Newell Adventure|Family|Fantasy|Mystery
116,Will Smith,Charlize Theron,Eddie Marsan,Peter Berg,Action|Drama,hancock,Will Smith Charlize Theron Eddie Marsan Peter Berg Action|Drama
117,Will Smith,Alice Braga,Willow Smith,Francis Lawrence,Drama|Horror|Sci-Fi,i am legend,Will Smith Alice Braga Willow Smith Francis Lawrence Drama|Horror|Sci-Fi
118,Johnny Depp,Christopher Lee,David Kelly,Tim Burton,Adventure|Comedy|Family|Fantasy,charlie and the chocolate factory,Johnny Depp Christopher Lee David Kelly Tim Burton Adventure|Comedy|Family|Fantasy
119,Janeane Garofalo,John Ratzenberger,Brian Dennehy,Brad Bird,Animation|Comedy|Family|Fantasy,ratatouille,Janeane Garofalo John Ratzenberger Brian Dennehy Brad Bird Animation|Comedy|Family|Fantasy
120,Christian Bale,Liam Neeson,Morgan Freeman,Christopher Nolan,Action|Adventure,batman begins,Christian Bale Liam Neeson Morgan Freeman Christopher Nolan Action|Adventure
121,Bernie Mac,Jada Pinkett Smith,Cedric the Entertainer,Eric Darnell,Action|Adventure|Animation|Comedy|Family,madagascar: escape 2 africa,Bernie Mac Jada Pinkett Smith Cedric the Entertainer Eric Darnell Action|Adventure|Animation|Comedy|Family
122,Robin Williams,Rami Malek,Steve Coogan,Shawn Levy,Adventure|Comedy|Family|Fantasy,night at the museum: battle of the smithsonian,Robin Williams Rami Malek Steve Coogan Shawn Levy Adventure|Comedy|Family|Fantasy
123,Hugh Jackman,Ryan Reynolds,Dominic Monaghan,Gavin Hood,Action|Adventure|Fantasy|Sci-Fi|Thriller,x-men origins: wolverine,Hugh Jackman Ryan Reynolds Dominic Monaghan Gavin Hood Action|Adventure|Fantasy|Sci-Fi|Thriller
124,Essie Davis,Collin Chou,Nona Gaye,Lana Wachowski,Action|Sci-Fi,the matrix revolutions,Essie Davis Collin Chou Nona Gaye Lana Wachowski Action|Sci-Fi
125,Josh Gad,Maurice LaMarche,Livvy Stubenrauch,Chris Buck,Adventure|Animation|Comedy|Family|Fantasy|Musical,frozen,Josh Gad Maurice LaMarche Livvy Stubenrauch Chris Buck Adventure|Animation|Comedy|Family|Fantasy|Musical
126,Steve Bastoni,Daniel Bernhardt,Helmut Bakaitis,Lana Wachowski,Action|Sci-Fi,the matrix reloaded,Steve Bastoni Daniel Bernhardt Helmut Bakaitis Lana Wachowski Action|Sci-Fi
